id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
2857500;Antero Salminen|Antti Poso|Carsten Wittekindt|Jukka Leppänen|Maija Lahtela-Kakkonen|Tero Huhtiniemi|Tuomo Laitinen;;;;;;;http://dx.doi.org/10.1007/s10822-006-9084-9;;Journal of Computer-Aided Molecular Design;journals/jcamd/HuhtiniemiWLLSPL06;2014-02-16;;;9;589-599;;;;;;;Comparative and pharmacophore model for deacetylase SIRT1.;;;db/journals/jcamd/jcamd20.html#HuhtiniemiWLLSPL06;20;2006
2857501;Ernest Mui|Rima McLeod|Sandhya Kortagere|William J. Welsh;;;;;;;http://dx.doi.org/10.1007/s10822-011-9420-6;Toxoplasma gondii;Journal of Computer-Aided Molecular Design;journals/jcamd/KortagereMMW11;2011-06-07;;;5;403-411;;;;;;;Rapid discovery of inhibitors of ;;;db/journals/jcamd/jcamd25.html#KortagereMMW11;25;2011
2857502;Jonas Boström;;;;;;;http://dx.doi.org/10.1023/A:1015930826903;;Journal of Computer-Aided Molecular Design;journals/jcamd/Bostrom01;2011-05-24;;;12;1137-1152;;;;;;;Reproducing the conformations of protein-bound ligands: A critical evaluation of several popular conformational searching tools.;;;db/journals/jcamd/jcamd15.html#Bostrom01;15;2001
2857503;Dimitris K. Agrafiotis|Walter Cedeño;;;;;;;http://dx.doi.org/10.1023/A:1025338411016;;Journal of Computer-Aided Molecular Design;journals/jcamd/CedenoA03;2011-05-24;;;2-4;255-263;;;;;;;Using particle swarms for the development of QSAR models based on K-nearest neighbor and kernel regression.;;;db/journals/jcamd/jcamd17.html#CedenoA03;17;2003
2857504;Peng Zhou|Xiang Chen|Zhicai Shang;;;;;;;http://dx.doi.org/10.1007/s10822-008-9245-0;;Journal of Computer-Aided Molecular Design;journals/jcamd/ZhouCS09;2009-04-20;;;3;129-141;;;;;;;Side-chain conformational space analysis (SCSA): A multi conformation-based QSAR approach for modeling and prediction of protein-peptide binding affinities.;;;db/journals/jcamd/jcamd23.html#ZhouCS09;23;2009
2857505;Charles R. Andrianjara|Pierre Ducrot|Roger Wrigglesworth;;;;;;;http://dx.doi.org/10.1023/A:1013104713913;;Journal of Computer-Aided Molecular Design;journals/jcamd/DucrotAW01;2011-05-24;;;9;767-785;;;;;;;CoMFA and CoMSIA 3D-quantitative structure-activity relationship model on benzodiazepine derivatives, inhibitors of phosphodiesterase IV.;;;db/journals/jcamd/jcamd15.html#DucrotAW01;15;2001
2857506;J. M. R. Parker|R. S. Hodges;;;;;;;http://dx.doi.org/10.1007/BF00119867;;Journal of Computer-Aided Molecular Design;journals/jcamd/ParkerH94;2011-05-24;;;2;193-210;;;;;;;HomologyPlot: Searching for homology to a family of proteins using a database of unique conserved patterns.;;;db/journals/jcamd/jcamd8.html#ParkerH94;8;1994
2857507;Elizabeth Yuriev|John D. Orbell;;;;;;;http://dx.doi.org/10.1007/BF00134182;;Journal of Computer-Aided Molecular Design;journals/jcamd/YurievO96;2011-05-24;;;6;589-606;;;;;;;Modelling steric effects in DNA-binding platinum(II)-am(m)ine complexes.;;;db/journals/jcamd/jcamd10.html#YurievO96;10;1996
2857508;Christophe L. M. J. Verlinde|Gabrielle Rudenko|Wim G. J. Hol;;;;;;;http://dx.doi.org/10.1007/BF00129424;;Journal of Computer-Aided Molecular Design;journals/jcamd/VerlindeRH92;2011-05-24;;;2;131-147;;;;;;;In search of new lead compounds for trypanosomiasis drug design: A protein structure-based linked-fragment approach.;;;db/journals/jcamd/jcamd6.html#VerlindeRH92;6;1992
2857509;Eduardo J. Delgado|Gonzalo A. Jaña|Omar Alvarado;;;;;;;http://dx.doi.org/10.1007/s10822-012-9589-3;;Journal of Computer-Aided Molecular Design;journals/jcamd/AlvaradoJD12;2012-10-30;;;8;977-982;;;;;;;Computer-assisted study on the reaction between pyruvate and ylide in the pathway leading to lactyl-ThDP.;;;db/journals/jcamd/jcamd26.html#AlvaradoJD12;26;2012
2857510;Kazunari Taira|Shun-ichi Kawahara|Tadafumi Uchimaru;;;;;;;http://dx.doi.org/10.1023/A:1026133912931;;Journal of Computer-Aided Molecular Design;journals/jcamd/KawaharaUT03;2011-05-24;;;5-6;329-334;;;;;;;2-Pyridone and 3-oxo-1, 2, 6-thiadiazine-1, 1-dioxide derivatives: a new class of hydrogen bond equivalents of uracil.;;;db/journals/jcamd/jcamd17.html#KawaharaUT03;17;2003
2857511;Bogdan I. Iorga|Georgiana Surpateanu;;;;;;;http://dx.doi.org/10.1007/s10822-011-9526-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/SurpateanuI12;2012-07-05;;;5;595-601;;;;;;;Evaluation of docking performance in a blinded virtual screening of fragment-like trypsin inhibitors.;;;db/journals/jcamd/jcamd26.html#SurpateanuI12;26;2012
2857512;John D. Holliday|Peter Willett 0002|Shereena M. Arif;;;;;;;http://dx.doi.org/10.1007/s10822-009-9285-0;;Journal of Computer-Aided Molecular Design;journals/jcamd/ArifHW09;2010-03-22;;;9;655-668;;;;;;;Analysis and use of fragment-occurrence data in similarity-based virtual screening.;;;db/journals/jcamd/jcamd23.html#ArifHW09;23;2009
2857513;Francisco Torrens|Oscar Martínez Santiago|Stephen J. Barigye|Yoan Martínez López|Yovani Marrero-Ponce;;;;;;;http://dx.doi.org/10.1007/s10822-012-9591-9;;Journal of Computer-Aided Molecular Design;journals/jcamd/Marrero-PonceSLBT12;2012-11-27;;;11;1229-1246;;;;;;;Derivatives in discrete mathematics: a novel graph-theoretical invariant for generating new 2/3D molecular descriptors. I. Theory and QSPR application.;;;db/journals/jcamd/jcamd26.html#Marrero-PonceSLBT12;26;2012
2857514;Goran Krilov|Hongming Wang|William Novak;;;;;;;http://dx.doi.org/10.1007/s10822-008-9237-0;;Journal of Computer-Aided Molecular Design;journals/jcamd/NovakWK09;2009-04-20;;;1;49-61;;;;;L;;Role of protein flexibility in the design of Bcl-X;;;db/journals/jcamd/jcamd23.html#NovakWK09;23;2009
2857515;Keli Agama|Malgorzata N. Drwal|Renate Griffith|Yves Pommier;;;;;;;http://dx.doi.org/10.1007/s10822-013-9695-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/DrwalAPG13;2014-02-18;;;12;1037-1049;;;;;;;Development of purely structure-based pharmacophores for the topoisomerase I-DNA-ligand binding pocket.;;;db/journals/jcamd/jcamd27.html#DrwalAPG13;27;2013
2857516;Antti Jussila|Dag Björklund|Dan-Johan Still|Jan Ekholm|Jukka V. Lehtonen|Jussi Jaakkola|Mark S. Johnson|Mats Gyllenberg|Mikko Huhtala|Olli T. Pentikäinen|Susanna Repo|Tiina Salminen|Tommi H. Nyrönen|Ville-Veikko Rantanen|Zuhair Iftikhar;;;;;;;http://dx.doi.org/10.1007/s10822-004-3752-4;;Journal of Computer-Aided Molecular Design;journals/jcamd/LehtonenSREBIHRJJPNSGJ04;2014-02-12;;;6;401-419;;;;;;;BODIL: a molecular modeling environment for structure-function analysis and drug design.;;;db/journals/jcamd/jcamd18.html#LehtonenSREBIHRJJPNSGJ04;18;2004
2857517;Anna Maria Almerico|Antonino Lauria|Marco Tutone;;;;;;;http://dx.doi.org/10.1007/s10822-008-9186-7;;Journal of Computer-Aided Molecular Design;journals/jcamd/AlmericoTL08;2014-02-12;;;5;287-297;;;;;;;Docking and multivariate methods to explore HIV-1 drug-resistance: a comparative analysis.;;;db/journals/jcamd/jcamd22.html#AlmericoTL08;22;2008
